date,code,close_price,volume,company
18/04/2000,MSFT,40.28125,91794600,Microsoft
19/04/2000,MSFT,39.34375,53715400,Microsoft
20/04/2000,MSFT,39.46875,52387400,Microsoft
24/04/2000,MSFT,33.3125,313645800,Microsoft
25/04/2000,MSFT,34.6875,159517400,Microsoft
26/04/2000,MSFT,34,107091200,Microsoft
27/04/2000,MSFT,34.90625,77669800,Microsoft
28/04/2000,MSFT,34.875,78082600,Microsoft
01/05/2000,MSFT,36.71875,107811000,Microsoft
02/05/2000,MSFT,34.9375,97716200,Microsoft
03/05/2000,MSFT,35.28125,55354800,Microsoft
04/05/2000,MSFT,35.21875,43317200,Microsoft
05/05/2000,MSFT,35.5625,36402200,Microsoft
08/05/2000,MSFT,34.90625,36187600,Microsoft
09/05/2000,MSFT,33.90625,60778400,Microsoft
10/05/2000,MSFT,33.09375,67740000,Microsoft
11/05/2000,MSFT,33.9375,58390800,Microsoft
12/05/2000,MSFT,34.40625,37886000,Microsoft
15/05/2000,MSFT,34.6875,33899600,Microsoft
16/05/2000,MSFT,34.75,48410600,Microsoft
17/05/2000,MSFT,33.84375,53242000,Microsoft
18/05/2000,MSFT,33.09375,53640400,Microsoft
19/05/2000,MSFT,32.53125,66578000,Microsoft
22/05/2000,MSFT,32.09375,69955000,Microsoft
23/05/2000,MSFT,31.59375,57963200,Microsoft
24/05/2000,MSFT,32.78125,85482400,Microsoft
25/05/2000,MSFT,30.75,94348800,Microsoft
26/05/2000,MSFT,30.71875,55822000,Microsoft
30/05/2000,MSFT,31.6875,68536400,Microsoft
31/05/2000,MSFT,31.28125,54968200,Microsoft
01/06/2000,MSFT,32.28125,94507200,Microsoft
02/06/2000,MSFT,33.15625,80463200,Microsoft
05/06/2000,MSFT,33.4375,64400000,Microsoft
06/06/2000,MSFT,34.8125,99019000,Microsoft
07/06/2000,MSFT,35.25,76310600,Microsoft
08/06/2000,MSFT,34.40625,94765600,Microsoft
09/06/2000,MSFT,34.40625,35710200,Microsoft
12/06/2000,MSFT,33.4375,49260600,Microsoft
13/06/2000,MSFT,33.9375,44289200,Microsoft
14/06/2000,MSFT,35.25,79992400,Microsoft
15/06/2000,MSFT,36.1875,65592600,Microsoft
16/06/2000,MSFT,36.28125,68710600,Microsoft
19/06/2000,MSFT,36.84375,46604800,Microsoft
20/06/2000,MSFT,37.46875,62275000,Microsoft
21/06/2000,MSFT,40.34375,160399600,Microsoft
22/06/2000,MSFT,39.9375,87315200,Microsoft
23/06/2000,MSFT,38.84375,49811600,Microsoft
26/06/2000,MSFT,39.75,48287000,Microsoft
27/06/2000,MSFT,39.40625,31071200,Microsoft
28/06/2000,MSFT,39.46875,37459200,Microsoft
29/06/2000,MSFT,38.59375,38449000,Microsoft
30/06/2000,MSFT,40,52356400,Microsoft
03/07/2000,MSFT,40,15734800,Microsoft
05/07/2000,MSFT,39.25,34824400,Microsoft
06/07/2000,MSFT,40.46875,47873200,Microsoft
07/07/2000,MSFT,41,54153200,Microsoft
10/07/2000,MSFT,39.71875,52689800,Microsoft
11/07/2000,MSFT,39.5625,37164800,Microsoft
12/07/2000,MSFT,40.15625,58370200,Microsoft
13/07/2000,MSFT,39.96875,80843200,Microsoft
14/07/2000,MSFT,39.46875,51180600,Microsoft
17/07/2000,MSFT,39.09375,53992800,Microsoft
18/07/2000,MSFT,39.25,70617200,Microsoft
19/07/2000,MSFT,36.5625,139924600,Microsoft
20/07/2000,MSFT,37.40625,54690600,Microsoft
21/07/2000,MSFT,36.15625,56100600,Microsoft
24/07/2000,MSFT,35.28125,56165600,Microsoft
25/07/2000,MSFT,34.5,64188600,Microsoft
26/07/2000,MSFT,33.90625,85404600,Microsoft
27/07/2000,MSFT,34.6875,74337600,Microsoft
28/07/2000,MSFT,34.84375,75645600,Microsoft
31/07/2000,MSFT,34.90625,70283800,Microsoft
01/08/2000,MSFT,34.34375,47163600,Microsoft
02/08/2000,MSFT,34.6875,48269200,Microsoft
03/08/2000,MSFT,35.125,54543400,Microsoft
04/08/2000,MSFT,34.5625,38107400,Microsoft
07/08/2000,MSFT,35,52741800,Microsoft
08/08/2000,MSFT,37.0625,138038800,Microsoft
09/08/2000,MSFT,37.125,63945600,Microsoft
10/08/2000,MSFT,36.3125,48986000,Microsoft
11/08/2000,MSFT,36.21875,35629600,Microsoft
14/08/2000,MSFT,36.09375,53427000,Microsoft
15/08/2000,MSFT,35.8125,40714200,Microsoft
16/08/2000,MSFT,35.5,44976200,Microsoft
17/08/2000,MSFT,35.78125,36112800,Microsoft
18/08/2000,MSFT,35.5,54438800,Microsoft
21/08/2000,MSFT,35.3125,34119600,Microsoft
22/08/2000,MSFT,35.625,54428200,Microsoft
23/08/2000,MSFT,35.375,36726800,Microsoft
24/08/2000,MSFT,35.5625,42405400,Microsoft
25/08/2000,MSFT,35.3125,52729400,Microsoft
28/08/2000,MSFT,35.65625,56421600,Microsoft
29/08/2000,MSFT,35.46875,59400200,Microsoft
30/08/2000,MSFT,35,53498800,Microsoft
31/08/2000,MSFT,34.90625,72575400,Microsoft
01/09/2000,MSFT,35.09375,37629800,Microsoft
05/09/2000,MSFT,35.0625,50755200,Microsoft
06/09/2000,MSFT,34.71875,62960800,Microsoft
07/09/2000,MSFT,35.03125,111711200,Microsoft
08/09/2000,MSFT,34.65625,56709600,Microsoft
11/09/2000,MSFT,34.40625,48495200,Microsoft
12/09/2000,MSFT,34.0625,46781200,Microsoft
13/09/2000,MSFT,34.125,40744800,Microsoft
14/09/2000,MSFT,32.90625,78503000,Microsoft
15/09/2000,MSFT,32.09375,99915200,Microsoft
18/09/2000,MSFT,31.5,69037800,Microsoft
19/09/2000,MSFT,32.5,79311200,Microsoft
20/09/2000,MSFT,32.125,67791400,Microsoft
21/09/2000,MSFT,32.09375,48952200,Microsoft
22/09/2000,MSFT,31.625,84476600,Microsoft
25/09/2000,MSFT,30.625,53484200,Microsoft
26/09/2000,MSFT,31.34375,155704800,Microsoft
27/09/2000,MSFT,30.3125,106155600,Microsoft
28/09/2000,MSFT,30.65625,52360400,Microsoft
29/09/2000,MSFT,30.15625,74053600,Microsoft
02/10/2000,MSFT,29.5625,58562400,Microsoft
03/10/2000,MSFT,28.28125,85374000,Microsoft
04/10/2000,MSFT,27.71875,136453400,Microsoft
05/10/2000,MSFT,27.6875,81099400,Microsoft
06/10/2000,MSFT,27.78125,61794000,Microsoft
09/10/2000,MSFT,27.09375,58323600,Microsoft
10/10/2000,MSFT,27.28125,62066200,Microsoft
11/10/2000,MSFT,27.875,101205800,Microsoft
12/10/2000,MSFT,27.1875,90219600,Microsoft
13/10/2000,MSFT,26.875,104521200,Microsoft
16/10/2000,MSFT,25.1875,119759000,Microsoft
17/10/2000,MSFT,25.21875,81276600,Microsoft
18/10/2000,MSFT,25.875,110536400,Microsoft
19/10/2000,MSFT,30.9375,256993200,Microsoft
20/10/2000,MSFT,32.59375,160378600,Microsoft
23/10/2000,MSFT,31.0625,185170400,Microsoft
24/10/2000,MSFT,30.75,94427400,Microsoft
25/10/2000,MSFT,30.625,167603800,Microsoft
26/10/2000,MSFT,32.21875,114826600,Microsoft
27/10/2000,MSFT,33.84375,124292400,Microsoft
30/10/2000,MSFT,34.53125,110057600,Microsoft
31/10/2000,MSFT,34.4375,104474000,Microsoft
01/11/2000,MSFT,34.8125,81309400,Microsoft
02/11/2000,MSFT,35.15625,77985200,Microsoft
03/11/2000,MSFT,34.125,68711000,Microsoft
06/11/2000,MSFT,34.75,74851400,Microsoft
07/11/2000,MSFT,35.25,104331200,Microsoft
08/11/2000,MSFT,34.71875,206149400,Microsoft
09/11/2000,MSFT,35.4375,91058600,Microsoft
10/11/2000,MSFT,33.6875,93744400,Microsoft
13/11/2000,MSFT,33.21875,83364800,Microsoft
14/11/2000,MSFT,34.40625,84218600,Microsoft
15/11/2000,MSFT,35.03125,60422200,Microsoft
16/11/2000,MSFT,34.46875,92128600,Microsoft
17/11/2000,MSFT,34.53125,106525600,Microsoft
20/11/2000,MSFT,33.59375,80157200,Microsoft
21/11/2000,MSFT,33.875,59487600,Microsoft
22/11/2000,MSFT,34.125,76343200,Microsoft
24/11/2000,MSFT,34.96875,34439200,Microsoft
27/11/2000,MSFT,35.34375,85307600,Microsoft
28/11/2000,MSFT,33.5,127446200,Microsoft
29/11/2000,MSFT,32.53125,98280400,Microsoft
30/11/2000,MSFT,28.6875,197200800,Microsoft
01/12/2000,MSFT,28.3125,109809800,Microsoft
04/12/2000,MSFT,28.21875,80407200,Microsoft
05/12/2000,MSFT,29.9375,101734400,Microsoft
06/12/2000,MSFT,28.34375,90560800,Microsoft
07/12/2000,MSFT,26.5625,145308400,Microsoft
08/12/2000,MSFT,27.21875,120939800,Microsoft
11/12/2000,MSFT,29.03125,95576200,Microsoft
12/12/2000,MSFT,29.1875,63106000,Microsoft
13/12/2000,MSFT,28.625,98360400,Microsoft
14/12/2000,MSFT,27.75,71201400,Microsoft
15/12/2000,MSFT,24.59375,116899800,Microsoft
18/12/2000,MSFT,23.90625,107187400,Microsoft
19/12/2000,MSFT,22.40625,120271800,Microsoft
20/12/2000,MSFT,20.75,149037800,Microsoft
21/12/2000,MSFT,21.71875,163173000,Microsoft
22/12/2000,MSFT,23.21875,109551800,Microsoft
26/12/2000,MSFT,23.4375,66941600,Microsoft
27/12/2000,MSFT,23.21875,69003800,Microsoft
28/12/2000,MSFT,22.28125,77619200,Microsoft
29/12/2000,MSFT,21.6875,99977600,Microsoft
02/01/2001,MSFT,21.6875,82413200,Microsoft
03/01/2001,MSFT,23.96875,135962200,Microsoft
04/01/2001,MSFT,24.21875,112397000,Microsoft
05/01/2001,MSFT,24.5625,93414600,Microsoft
08/01/2001,MSFT,24.46875,79817600,Microsoft
09/01/2001,MSFT,25.90625,114965400,Microsoft
10/01/2001,MSFT,26.4375,90230200,Microsoft
11/01/2001,MSFT,27.5,101854800,Microsoft
12/01/2001,MSFT,26.75,73712000,Microsoft
16/01/2001,MSFT,26.28125,68462400,Microsoft
17/01/2001,MSFT,26.46875,72844200,Microsoft
18/01/2001,MSFT,27.75,109788800,Microsoft
19/01/2001,MSFT,30.5,209348800,Microsoft
22/01/2001,MSFT,30.0625,76673000,Microsoft
23/01/2001,MSFT,30.28125,70295200,Microsoft
